Entity,Code,Day,"People fully vaccinated (cumulative, per hundred)"
Afghanistan,AFG,2023-11-14,44.447304
Afghanistan,AFG,2023-11-26,44.64361
Afghanistan,AFG,2023-12-31,45.270844
Africa,,2020-12-02,1.3615144
Africa,,2020-12-03,1.3615144
Africa,,2020-12-04,1.3615144
Africa,,2020-12-05,1.3615144
Africa,,2020-12-06,1.3615144
Africa,,2020-12-07,1.3615144
Africa,,2020-12-08,1.3615144
Africa,,2020-12-09,1.3615144
Africa,,2020-12-10,1.3615144
Africa,,2020-12-11,1.3615144
Africa,,2020-12-12,1.3615144
Africa,,2020-12-13,1.3615144
Africa,,2020-12-14,1.3615144
Africa,,2020-12-15,1.3615144
Africa,,2020-12-16,1.3615144
Africa,,2020-12-17,1.3615144
Africa,,2020-12-18,1.3615144
Africa,,2020-12-19,1.3615144
Africa,,2020-12-20,1.3615144
Africa,,2020-12-21,1.3615144
Africa,,2020-12-22,1.3615144
Africa,,2020-12-23,1.3615144
Africa,,2020-12-24,1.3615144
Africa,,2020-12-25,1.3615144
Africa,,2020-12-26,1.3615144
Africa,,2020-12-27,1.3615144
Africa,,2020-12-28,1.3615144
Africa,,2020-12-29,1.3615144
Africa,,2020-12-30,1.3615144
Africa,,2020-12-31,1.3615144
Africa,,2021-01-01,1.3615144
Africa,,2021-01-02,1.3615144
Africa,,2021-01-03,1.3615144
Africa,,2021-01-04,1.3615144
Africa,,2021-01-05,1.3615144
Africa,,2021-01-06,1.3615144
Africa,,2021-01-07,1.3615144
Africa,,2021-01-08,1.3615144
Africa,,2021-01-09,1.3615144
Africa,,2021-01-10,1.3615144
Africa,,2021-01-11,1.3615144
Africa,,2021-01-12,1.3615144
Africa,,2021-01-13,1.3615144
Africa,,2021-01-14,1.3615144
Africa,,2021-01-15,1.3615144
Africa,,2021-01-16,1.3615144
Africa,,2021-01-17,1.3615144
Africa,,2021-01-18,1.3615144
Africa,,2021-01-19,1.3615144
Africa,,2021-01-20,1.3615144
Africa,,2021-01-21,1.3615144
Africa,,2021-01-22,1.3615144
Africa,,2021-01-23,1.3615144
Africa,,2021-01-24,1.3615144
Africa,,2021-01-25,1.3615144
Africa,,2021-01-26,1.3615144
Africa,,2021-01-27,1.3615144
Africa,,2021-01-28,1.3615144
Africa,,2021-01-29,1.3615144
Africa,,2021-01-30,1.3615144
Africa,,2021-01-31,1.3615144
Africa,,2021-02-01,1.3615144
Africa,,2021-02-02,1.3615144
Africa,,2021-02-03,1.3615148
Africa,,2021-02-04,1.3615514
Africa,,2021-02-05,1.3615879
Africa,,2021-02-06,1.3616245
Africa,,2021-02-07,1.3617074
Africa,,2021-02-08,1.3617905
Africa,,2021-02-09,1.3619791
Africa,,2021-02-10,1.3622313
Africa,,2021-02-11,1.3624762
Africa,,2021-02-12,1.3624872
Africa,,2021-02-13,1.362498
Africa,,2021-02-14,1.3625765
Africa,,2021-02-15,1.3626548
Africa,,2021-02-16,1.3627752
Africa,,2021-02-17,1.3629462
Africa,,2021-02-18,1.3631046
Africa,,2021-02-19,1.3634651
Africa,,2021-02-20,1.3643321
Africa,,2021-02-21,1.3650305
Africa,,2021-02-22,1.3659778
Africa,,2021-02-23,1.3672062
Africa,,2021-02-24,1.3682911
Africa,,2021-02-25,1.3694857
Africa,,2021-02-26,1.3739129
Africa,,2021-02-27,1.3787085
Africa,,2021-02-28,1.3814206
Africa,,2021-03-01,1.3840839
Africa,,2021-03-02,1.3885267
Africa,,2021-03-03,1.3936976
Africa,,2021-03-04,1.3979162
Africa,,2021-03-05,1.4045435
Africa,,2021-03-06,1.4101534
Africa,,2021-03-07,1.4127076
Africa,,2021-03-08,1.4152619
Africa,,2021-03-09,1.4201962
Africa,,2021-03-10,1.4312354
Africa,,2021-03-11,1.4400495
Africa,,2021-03-12,1.458096
Africa,,2021-03-13,1.4752427
Africa,,2021-03-14,1.4855827
Africa,,2021-03-15,1.4959226
Africa,,2021-03-16,1.5100126
Africa,,2021-03-17,1.5215557
Africa,,2021-03-18,1.5303786
Africa,,2021-03-19,1.539028
Africa,,2021-03-20,1.54421
Africa,,2021-03-21,1.5477029
Africa,,2021-03-22,1.5512154
Africa,,2021-03-23,1.5568283
Africa,,2021-03-24,1.5755566
Africa,,2021-03-25,1.5923465
Africa,,2021-03-26,1.604552
Africa,,2021-03-27,1.6118035
Africa,,2021-03-28,1.6166829
Africa,,2021-03-29,1.6214628
Africa,,2021-03-30,1.6302071
Africa,,2021-03-31,1.6388025
Africa,,2021-04-01,1.6460055
Africa,,2021-04-02,1.651568
Africa,,2021-04-03,1.6553906
Africa,,2021-04-04,1.657698
Africa,,2021-04-05,1.6600176
Africa,,2021-04-06,1.6632195
Africa,,2021-04-07,1.6675403
Africa,,2021-04-08,1.6708765
Africa,,2021-04-09,1.6735126
Africa,,2021-04-10,1.676273
Africa,,2021-04-11,1.6776263
Africa,,2021-04-12,1.6782588
Africa,,2021-04-13,1.679087
Africa,,2021-04-14,1.6803569
Africa,,2021-04-15,1.6815994
Africa,,2021-04-16,1.682952
Africa,,2021-04-17,1.6842157
Africa,,2021-04-18,1.6852193
Africa,,2021-04-19,1.6863077
Africa,,2021-04-20,1.6875771
Africa,,2021-04-21,1.689023
Africa,,2021-04-22,1.6902326
Africa,,2021-04-23,1.6916963
Africa,,2021-04-24,1.6931304
Africa,,2021-04-25,1.6942542
Africa,,2021-04-26,1.6954522
Africa,,2021-04-27,1.6977628
Africa,,2021-04-28,1.7006599
Africa,,2021-04-29,1.7035017
Africa,,2021-04-30,1.7054994
Africa,,2021-05-01,1.7066783
Africa,,2021-05-02,1.7088914
Africa,,2021-05-03,1.7110693
Africa,,2021-05-04,1.7171406
Africa,,2021-05-05,1.7210845
Africa,,2021-05-06,1.7244333
Africa,,2021-05-07,1.727896
Africa,,2021-05-08,1.7317593
Africa,,2021-05-09,1.7348151
Africa,,2021-05-10,1.7376179
Africa,,2021-05-11,1.7414491
Africa,,2021-05-12,1.7468224
Africa,,2021-05-13,1.7523576
Africa,,2021-05-14,1.7575496
Africa,,2021-05-15,1.7646707
Africa,,2021-05-16,1.769306
Africa,,2021-05-17,1.7744646
Africa,,2021-05-18,1.7811757
Africa,,2021-05-19,1.7945484
Africa,,2021-05-20,1.8059787
Africa,,2021-05-21,1.8172218
Africa,,2021-05-22,1.8237537
Africa,,2021-05-23,1.8305693
Africa,,2021-05-24,1.8379437
Africa,,2021-05-25,1.8550642
Africa,,2021-05-26,1.8700944
Africa,,2021-05-27,1.8847067
Africa,,2021-05-28,1.899928
Africa,,2021-05-29,1.9152452
Africa,,2021-05-30,1.9305443
Africa,,2021-05-31,1.9454411
Africa,,2021-06-01,1.9646811
Africa,,2021-06-02,1.9823599
Africa,,2021-06-03,1.9996344
Africa,,2021-06-04,2.0122344
Africa,,2021-06-05,2.023703
Africa,,2021-06-06,2.0421689
Africa,,2021-06-07,2.0604024
Africa,,2021-06-08,2.0903213
Africa,,2021-06-09,2.1181765
Africa,,2021-06-10,2.1434739
Africa,,2021-06-11,2.1667473
Africa,,2021-06-12,2.179662
Africa,,2021-06-13,2.1990983
Africa,,2021-06-14,2.217988
Africa,,2021-06-15,2.2405806
Africa,,2021-06-16,2.259949
Africa,,2021-06-17,2.281946
Africa,,2021-06-18,2.3016734
Africa,,2021-06-19,2.3138719
Africa,,2021-06-20,2.3326397
Africa,,2021-06-21,2.35177
Africa,,2021-06-22,2.3645222
Africa,,2021-06-23,2.3774927
Africa,,2021-06-24,2.394876
Africa,,2021-06-25,2.414397
Africa,,2021-06-26,2.428046
Africa,,2021-06-27,2.4424434
Africa,,2021-06-28,2.4571197
Africa,,2021-06-29,2.4753332
Africa,,2021-06-30,2.4922485
Africa,,2021-07-01,2.5050268
Africa,,2021-07-02,2.516367
Africa,,2021-07-03,2.5259433
Africa,,2021-07-04,2.538563
Africa,,2021-07-05,2.5502956
Africa,,2021-07-06,2.559789
Africa,,2021-07-07,2.569074
Africa,,2021-07-08,2.578347
Africa,,2021-07-09,2.5977242
Africa,,2021-07-10,2.6113043
Africa,,2021-07-11,2.6261883
Africa,,2021-07-12,2.6484354
Africa,,2021-07-13,2.6687472
Africa,,2021-07-14,2.6904721
Africa,,2021-07-15,2.7168286
Africa,,2021-07-16,2.7257476
Africa,,2021-07-17,2.7345014
Africa,,2021-07-18,2.7422247
Africa,,2021-07-19,2.758368
Africa,,2021-07-20,2.7730565
Africa,,2021-07-21,2.7930772
Africa,,2021-07-22,2.8142962
Africa,,2021-07-23,2.830352
Africa,,2021-07-24,2.8385935
Africa,,2021-07-25,2.8476987
Africa,,2021-07-26,2.871472
Africa,,2021-07-27,2.894785
Africa,,2021-07-28,2.9219465
Africa,,2021-07-29,2.94984
Africa,,2021-07-30,2.9660017
Africa,,2021-07-31,2.9787085
Africa,,2021-08-01,2.9902253
Africa,,2021-08-02,3.0102446
Africa,,2021-08-03,3.0578084
Africa,,2021-08-04,3.0801663
Africa,,2021-08-05,3.1038432
Africa,,2021-08-06,3.1306334
Africa,,2021-08-07,3.1496155
Africa,,2021-08-08,3.164715
Africa,,2021-08-09,3.19244
Africa,,2021-08-10,3.2119958
Africa,,2021-08-11,3.243552
Africa,,2021-08-12,3.2756782
Africa,,2021-08-13,3.2968194
Africa,,2021-08-14,3.3136663
Africa,,2021-08-15,3.331266
Africa,,2021-08-16,3.3696373
Africa,,2021-08-17,3.4261684
Africa,,2021-08-18,3.4830701
Africa,,2021-08-19,3.5401618
Africa,,2021-08-20,3.5771716
Africa,,2021-08-21,3.6097174
Africa,,2021-08-22,3.638798
Africa,,2021-08-23,3.6950583
Africa,,2021-08-24,3.7578826
Africa,,2021-08-25,3.813834
Africa,,2021-08-26,3.8735747
Africa,,2021-08-27,3.9332798
Africa,,2021-08-28,3.9677093
Africa,,2021-08-29,4.04013
Africa,,2021-08-30,4.083823
Africa,,2021-08-31,4.1329236
Africa,,2021-09-01,4.1882153
Africa,,2021-09-02,4.232899
Africa,,2021-09-03,4.2711186
Africa,,2021-09-04,4.3278375
Africa,,2021-09-05,4.353955
Africa,,2021-09-06,4.412966
Africa,,2021-09-07,4.4432006
Africa,,2021-09-08,4.470752
Africa,,2021-09-09,4.5175457
Africa,,2021-09-10,4.5818796
Africa,,2021-09-11,4.6558614
Africa,,2021-09-12,4.702373
Africa,,2021-09-13,4.757294
